YEAR,MONTH,DAY,ORIGIN,ID,COUNTRY,REGION,DEPARTMENT_OF_ENERGY,LATITUDE,LONGITUDE,DEPTH,YIELD_1,YEILD_2,PURPOSE,NAME,TYPE;
58,09,17, 193000.0, 58059, USA, NTS, DOE, 37.000, -116.000, 0.000, 0.015, 0.015, SE, BERNALILLO, SHAFT ;
58,09,19, 140000.0, 58060, USA, NTS, DOE, 37.000, -116.000, -0.200, 0.083, 0.083, WR, EDDY, BALLOON ;
58,09,21, 190000.0, 58061, USA, NTS, DOE, 37.000, -116.000, 0.000, 0.0015, 0.0015, SB, LUNA, SHAFT ;
58,09,23, 180000.0, 58062, UK, CHRISTMAS, IS,  2.000, -157.000, 0.000, 25.0, 25.0, WR, GRAPPLE, Z BALLOON ;
58,09,23, 220000.0, 58063, USA, NTS, DOE, 37.000, -116.000, 0.000, 0.0, 0.0, SE, MERCURY, TUNNEL ;
58,09,26, 200000.0, 58064, USA, NTS, DOE, 37.000, -116.000, 0.000, 0.002, 0.002, SB, VALENCIA, SHAFT ;
58,09,28, 0.0, 58065, USA, NTS, DOE, 37.000, -116.000, 0.000, 0.013, 0.013, SB, MARS, TUNNEL ;
58,09,29, 140500.0, 58066, USA, NTS, DOE, 37.000, -116.000, -0.500, 2.0, 2.0, WR, MORA, BALLOON ;
58,09,30, 75000.0, 58067, USSR, NZ, RUSS,  73.000, 55.000, 0.000, 1200.0, 1200.0, WR, ATMOSPH, BALLOON ;
58,09,30, 95500.0, 58068, USSR, NZ, RUSS,  73.000, 55.000, 0.000, 900.0, 900.0, WR, ATMOSPH, BALLOON ;
58,10,02, 80000.0, 58069, USSR, NZ, RUSS,  73.000, 55.000, 0.000, 290.0, 290.0, WR, ATMOSPH, BALLOON ;
58,10,02, 90100.0, 58070, USSR, NZ, RUSS,  73.000, 55.000, 0.000, 40.0, 40.0, FMS, ATMOSPH, BALLOON ;
58,10,04, 0.0, 58071, USSR, NZ, RUSS,  73.000, 55.000, 0.000, 9.0, 9.0, WR, ATMOSPH, BALLOON ;
58,10,05, 60000.0, 58072, USSR, NZ, RUSS,  73.000, 55.000, 0.000, 15.0, 15.0, WR, ATMOSPH, BALLOON ;
58,10,05, 141000.0, 58073, USA, NTS, DOE, 37.000, -116.000, 0.000, 0.077, 0.077, SE, HIDALGO, BALLOON ;
58,10,05, 161500.0, 58074, USA, NTS, DOE, 37.000, -116.000, 0.000, 0.0055, 0.0055, SE, COLFAX, SHAFT ;
58,10,06, 0.0, 58075, USSR, NZ, RUSS,  73.000, 55.000, 0.000, 5.5, 5.5, WR, ATMOSPH, TUNNEL ;
58,10,08, 220000.0, 58076, USA, NTS, DOE, 37.000, -116.000, 0.100, 0.072, 0.072, WR, TAMALPAIS, TUNNEL ;
58,10,10, 75100.0, 58077, USSR, NZ, RUSS,  73.000, 55.000, 0.000, 68.0, 68.0, WR, ATMOSPH, TOWER ;
58,10,10, 143000.0, 58078, USA, NTS, DOE, 37.000, -116.000, -0.030, 0.079, 0.079, WR, QUAY, TOWER ;
